Year,Units,Value
2015,Maize,16.45
2015,Rice,3.44
2015,Sorghum,6.28
2015,Cassava,23.06
2015,Yam,18.96
2015,Plantain,3.25
2015,Ground nut,8.90
2015,Cattle,27.31
2015,Sheep,6.61
2015,Goats,11
2015,Poultry,1.5
2016,Maize,16.15
2016,Rice,3.09
2016,Sorghum,6.08
2016,Cassava,22.66
2016,Yam,18.46
2016,Plantain,2.90
2016,Ground nut,8.70
2016,Cattle,27.21
2016,Sheep,6.51
2016,Goats,10.9
2016,Poultry,1.45
2017,Maize,15.85
2017,Rice,2.74
2017,Sorghum,5.88
2017,Cassava,22.26
2017,Yam,17.96
2017,Plantain,2.55
2017,Ground nut,8.50
2017,Cattle,27.11
2017,Sheep,6.41
2017,Goats,10.8
2017,Poultry,1.4
2018,Maize,15.55
2018,Rice,2.39
2018,Sorghum,5.68
2018,Cassava,21.86
2018,Yam,17.46
2018,Plantain,2.20
2018,Ground nut,8.30
