Year,Location,Sex,Geography,Education,Mothers education,Value
2011,,,,,,72.7
2011,Urban,,,,,73.5
2011,Rural,,,,,72.1
2011,,Male,,,,74.2
2011,,Female,,,,72.2
2011,,,Western,,,72.6
2011,,,Central,,,69.5
2011,,,Greater Accra,,,69.1
2011,,,Volta,,,73.6
2011,,,Eastern,,,79.1
2011,,,Ashanti,,,74.2
2011,,,Brong Ahafo,,,70.8
2011,,,Northern,,,75.8
2011,,,Upper East,,,69.5
2011,,,Upper West,,,67.6
2011,,,,No education,,72.4
2011,,,,Primary,,73.3
2011,,,,Middle or JSS or JHS,,74.3
2011,,,,Secondary and higher,,68.8
