Year,Geography,Value
2008,,199.7
2008,Western,209.5
2008,Central,159.3
2008,Greater Accra,187.7
2008,Volta,256.2
2008,Eastern,262.6
2008,Ashanti,196.1
2008,Brong Ahafo,196.2
2008,Northern,254.8
2008,Upper East,203.5
2008,Upper West,99.1
2009,,170
2009,Western,155.4
2009,Central,134.5
2009,Greater Accra,183
2009,Volta,261.9
2009,Eastern,267
2009,Ashanti,176.4
2009,Brong Ahafo,229.6
2009,Northern,172
2009,Upper East,170.9
2009,Upper West,107.7
2010,,163.2
2010,Western,244
2010,Central,103.9
2010,Greater Accra,182.4
2010,Volta,255.6
2010,Eastern,288.1
2010,Ashanti,195.9
2010,Brong Ahafo,211.4
2010,Northern,176.5
2010,Upper East,172.3
2010,Upper West,122.7
2011,,195
2011,Western,284.3
2011,Central,120.6
2011,Greater Accra,123.6
2011,Volta,217.4
2011,Eastern,227.3
2011,Ashanti,212.2
2011,Brong Ahafo,225.8
2011,Northern,186.2
2011,Upper East,219.9
2011,Upper West,118.8
2012,,152
2012,Western,341
2012,Central,266.2
2012,Greater Accra,202.3
2012,Volta,200.5
2012,Eastern,265.3
2012,Ashanti,245.9
2012,Brong Ahafo,222
2012,Northern,206.9
2012,Upper East,140.7
2012,Upper West,160.9
2013,,154.5
2013,Western,269.5
2013,Central,223.2
2013,Greater Accra,194.3
2013,Volta,144.7
2013,Eastern,170.7
2013,Ashanti,252.6
2013,Brong Ahafo,185.3
2013,Northern,175.9
2013,Upper East,152.2
2013,Upper West,120.6
2014,,143.9
2014,Western,148
2014,Central,129
2014,Greater Accra,197
2014,Volta,146
2014,Eastern,136
2014,Ashanti,215
2014,Brong Ahafo,194
2014,Northern,147
2014,Upper East,131
2014,Upper West,267
2015,,141.9
2015,Western,176.1
2015,Central,149
2015,Greater Accra,181.5
2015,Volta,209.6
2015,Eastern,191.6
2015,Ashanti,149.6
2015,Brong Ahafo,138.7
2015,Northern,137.2
2015,Upper East,137.9
2015,Upper West,157.7
2016,,151.1
2016,Western,114
2016,Central,141
2016,Greater Accra,256
2016,Volta,201
2016,Eastern,207
2016,Ashanti,232
2016,Brong Ahafo,208
2016,Northern,165
2016,Upper East,120
2016,Upper West,202
2017,,147.3
2017,Western,132
2017,Central,113
2017,Greater Accra,201
2017,Volta,175
2017,Eastern,179
2017,Ashanti,77
2017,Brong Ahafo,167
2017,Northern,212
2017,Upper East,136
2017,Upper West,146
2018,,128.6
