Years,Geography,Value
2015,,0.55
2015,Western,0.54
2015,Central,0.56
2015,Greater Accra,0.59
2015,Volta,0.44
2015,Eastern,0.51
2015,Ashanti,0.53
2015,Brong Ahafo,0.61
2015,Northern,0.53
2015,Upper East,0.74
2015,Upper West,0.62
2016,,0.56
2016,Western,0.58
2016,Central,0.57
2016,Greater Accra,0.57
2016,Volta,0.43
2016,Eastern,0.51
2016,Ashanti,0.51
2016,Brong Ahafo,0.62
2016,Northern,0.56
2016,Upper East,0.74
2016,Upper West,0.67
2017,,0.57
2017,Western,0.53
2017,Central,0.57
2017,Greater Accra,0.54
2017,Volta,0.46
2017,Eastern,0.49
2017,Ashanti,0.52
2017,Brong Ahafo,0.61
2017,Northern,0.63
2017,Upper East,0.7
2017,Upper West,0.69
2018,,0.58
2018,Western,0.62
2018,Central,0.59
2018,Greater Accra,0.55
2018,Volta,0.48
2018,Eastern,0.51
2018,Ashanti,0.52
2018,Brong Ahafo,0.64
2018,Northern,0.67
2018,Upper East,0.76
2018,Upper West,0.7
