Year,Units,Geography,Value
2010,Institutional,,3.55
2010,Institutional,Western,4.95
2010,Institutional,Central,2.40
2010,Institutional,Greater Accra,4.11
2010,Institutional,Volta,2.17
2010,Institutional,Eastern,3.37
2010,Institutional,Ashanti,1.85
2010,Institutional,Brong Ahafo,5.27
2010,Institutional,Northern,4.37
2010,Institutional,Upper East,3.91
2010,Institutional,Upper West,5.76
2011,Institutional,,4.89
2011,Institutional,Western,4.36
2011,Institutional,Central,2.78
2011,Institutional,Greater Accra,10.39
2011,Institutional,Volta,3.92
2011,Institutional,Eastern,4.15
2011,Institutional,Ashanti,2.18
2011,Institutional,Brong Ahafo,5.53
2011,Institutional,Northern,4.33
2011,Institutional,Upper East,4.33
2011,Institutional,Upper West,8.69
2012,Institutional,,5.51
2012,Institutional,Western,5.45
2012,Institutional,Central,2.85
2012,Institutional,Greater Accra,10.90
2012,Institutional,Volta,3.94
2012,Institutional,Eastern,5.17
2012,Institutional,Ashanti,2.17
2012,Institutional,Brong Ahafo,5.05
2012,Institutional,Northern,6.86
2012,Institutional,Upper East,5.84
2012,Institutional,Upper West,6.87
2013,Institutional,,5.93
2013,Institutional,Western,5.84
2013,Institutional,Central,3.01
2013,Institutional,Greater Accra,9.58
2013,Institutional,Volta,4.65
2013,Institutional,Eastern,6.56
2013,Institutional,Ashanti,4.07
2013,Institutional,Brong Ahafo,5.91
2013,Institutional,Northern,8.05
2013,Institutional,Upper East,4.86
2013,Institutional,Upper West,7.77
2014,Institutional,,4.29
2014,Institutional,Western,6.67
2014,Institutional,Central,3.03
2014,Institutional,Greater Accra,5.40
2014,Institutional,Volta,2.54
2014,Institutional,Eastern,3.30
2014,Institutional,Ashanti,2.82
2014,Institutional,Brong Ahafo,7.16
2014,Institutional,Northern,3.39
2014,Institutional,Upper East,3.39
2014,Institutional,Upper West,5.09
2015,Institutional,,5.34
2015,Institutional,Western,7.44
2015,Institutional,Central,4.45
2015,Institutional,Greater Accra,6.42
2015,Institutional,Volta,3.96
2015,Institutional,Eastern,3.64
2015,Institutional,Ashanti,4.76
2015,Institutional,Brong Ahafo,6.57
2015,Institutional,Northern,4.58
2015,Institutional,Upper East,4.25
2015,Institutional,Upper West,7.43
2016,Institutional,,6.28
2016,Institutional,Western,6.42
2016,Institutional,Central,5.11
2016,Institutional,Greater Accra,8.56
2016,Institutional,Volta,4.58
2016,Institutional,Eastern,7.34
2016,Institutional,Ashanti,5.01
2016,Institutional,Brong Ahafo,7.54
2016,Institutional,Northern,5.07
2016,Institutional,Upper East,4.86
2016,Institutional,Upper West,6.59
2017,Institutional,,8.36
2017,Institutional,Western,4.37
2017,Institutional,Central,5.30
2017,Institutional,Greater Accra,9.19
2017,Institutional,Volta,7.29
2017,Institutional,Eastern,8.31
2017,Institutional,Ashanti,13.59
2017,Institutional,Brong Ahafo,8.71
2017,Institutional,Northern,6.40
2017,Institutional,Upper East,7.65
2017,Institutional,Upper West,5.52
2018,Institutional,,7.73
2018,Institutional,Western,7.08
2018,Institutional,Central,6.00
2018,Institutional,Greater Accra,10.42
2018,Institutional,Volta,5.08
2018,Institutional,Eastern,6.71
2018,Institutional,Ashanti,9.32
2018,Institutional,Brong Ahafo,7.15
2018,Institutional,Northern,7.63
2018,Institutional,Upper East,6.32
2018,Institutional,Upper West,6.09
2011,Survey,,32
2011,Survey,Western,27
2011,Survey,Central,36
2011,Survey,Greater Accra,20
2011,Survey,Volta,47
2011,Survey,Eastern,25
2011,Survey,Ashanti,27
2011,Survey,Brong Ahafo,44
2011,Survey,Northern,39
2011,Survey,Upper East,34
2011,Survey,Upper West,41
2017,Survey,,27
2017,Survey,Western,12
2017,Survey,Central,22
2017,Survey,Greater Accra,19
2017,Survey,Volta,14
2017,Survey,Eastern,27
2017,Survey,Ashanti,52
2017,Survey,Brong Ahafo,16
2017,Survey,Northern,19
2017,Survey,Upper East,21
2017,Survey,Upper West,28
