Year,Location,Sex of child,Geography,Education,Age,Value
2011,,,,,,3.8
2011,Urban,,,,,2.5
2011,Rural,,,,,5.3
2011,,,Western,,,2.1
2011,,,Central,,,0.8
2011,,,Greater Accra,,,1.2
2011,,,Volta,,,0.4
2011,,,Eastern,,,1.3
2011,,,Ashanti,,,1.9
2011,,,Brong Ahafo,,,4.5
2011,,,Northern,,,2.8
2011,,,Upper East,,,27.8
2011,,,Upper West,,,41.1
2011,,,,No education,,1.9
2011,,,,Primary,,0.4
2011,,,,Middle or JSS or JHS,,0.1
2011,,,,Secondary and higher,,0.1
2011,,,,,15-19,0.2
2011,,,,,20-24,0.4
2011,,,,,25-29,0.4
2011,,,,,30-34,0.7
2011,,,,,35-39,0.6
2011,,,,,40-44,0.7
2011,,,,,45-49,1.1
