Year,Location,Sex of head of Household,Geography,Value
2017,,,,23.4
2017,Urban,,,7.8
2017,Rural,,,39.5
2017,,Male,,25.8
2017,,Female,,17.6
2017,,,Western,21.1
2017,,,Central,13.8
2017,,,Greater Accra,2.5
2017,,,Volta,37.3
2017,,,Eastern,12.6
2017,,,Ashanti,11.6
2017,,,Brong Ahafo,26.8
2017,,,Northern,61.1
2017,,,Upper East,54.8
2017,,,Upper West,70.9
2013,,,,24.2
2013,Urban,,,10.6
2013,Rural,,,37.9
2013,,Male,,25.9
2013,,Female,,19.1
2013,,,Western,20.9
2013,,,Central,18.8
2013,,,Greater Accra,5.6
2013,,,Volta,33.8
2013,,,Eastern,21.7
2013,,,Ashanti,14.8
2013,,,Brong Ahafo,27.9
2013,,,Northern,50.4
2013,,,Upper East,44.4
2013,,,Upper West,70.7
2006,,,,28.5
2006,Urban,,,10.8
2006,Rural,,,39.2
2006,,Male,,31.4
2006,,Female,,19.1
2006,,,Western,22.9
2006,,,Central,23.4
2006,,,Greater Accra,13.5
2006,,,Volta,37.3
2006,,,Eastern,17.8
2006,,,Ashanti,24
2006,,,Brong Ahafo,34
2006,,,Northern,55.7
2006,,,Upper East,72.9
2006,,,Upper West,89.1
1999,,,,39.5
1999,Urban,,,19.4
1999,Rural,,,49.5
1999,,Male,,41
1999,,Female,,35.2
1999,,,Western,27.3
1999,,,Central,48.4
1999,,,Greater Accra,5.2
1999,,,Volta,37.7
1999,,,Eastern,43.7
1999,,,Ashanti,27.7
1999,,,Brong Ahafo,35.8
1999,,,Northern,69.2
1999,,,Upper East,88.2
1999,,,Upper West,83.9
1992,,,,51.7
1992,Urban,,,27.7
1992,Rural,,,63.6
1992,,Male,,54.9
1992,,Female,,43.1
1992,,,Western,59.6
1992,,,Central,44.3
1992,,,Greater Accra,25.8
1992,,,Volta,57
1992,,,Eastern,48
1992,,,Ashanti,41.2
1992,,,Brong Ahafo,65
1992,,,Northern,63.4
1992,,,Upper East,66.9
1992,,,Upper West,88.4
