Year,Location,Sex,Geography,Value
2017,,,,29.9
2017,Urban,,,33.7
2017,Rural,,,26.1
2017,,Male,,30.3
2017,,Female,,29.6
2017,,,Western,24.5
2017,,,Central,33.6
2017,,,Greater Accra,36.9
2017,,,Volta,23.7
2017,,,Eastern,24.7
2017,,,Ashanti,41.9
2017,,,Brong Ahafo,16.7
2017,,,Northern,25.6
2017,,,Upper East,27.2
2017,,,Upper West,19.4
2013,,,,31.6
2013,Urban,,,38.2
2013,Rural,,,25.1
2013,,Male,,32
2013,,Female,,31.3
2013,,,Western,31.5
2013,,,Central,31
2013,,,Greater Accra,46.9
2013,,,Volta,41.9
2013,,,Eastern,30.4
2013,,,Ashanti,28.9
2013,,,Brong Ahafo,22.6
2013,,,Northern,17.8
2013,,,Upper East,33.6
2013,,,Upper West,17
