Year,Value
1990,11.40621542
1991,12.08604833
1992,18.28876364
1993,23.3127094
1994,23.62025182
1995,20.7484646
1996,28.99893221
1997,36.18106823
1998,37.88740207
1999,34.16606662
2000,42.26802281
2001,40.36701484
2002,25.92349982
2003,26.43885797
2004,18.27759682
2005,15.28947555
2006,15.38467538
2007,12.05169964
2008,14.14242267
2009,18.19399634
2010,18.61892285
2011,13.79838926
2012,15.70891455
2013,23.4729026
2014,29.58825066
2015,30.68832433
2016,33.40385139
2017,0
