Year,Geography,Location,Age,Sex,GeoCode,Value
2010,,,,,,8.3
2010,,,15+,Male,,11.1
2010,,,15+,Female,,5.7
2010,,Urban,,,,13.4
2010,,Rural,,,,2.3
2010,Western,,,,AFRGHA001,6.8
2010,Central,,,,AFRGHA002,7.6
2010,Greater Accra,,,,AFRGHA003,19.3
2010,Volta,,,,AFRGHA004,3.8
2010,Eastern,,,,AFRGHA005,5.3
2010,Ashanti,,,,AFRGHA006,9.5
2010,Brong Ahafo,,,,AFRGHA007,3.8
2010,Northern,,,,AFRGHA008,2.3
2010,Upper East,,,,AFRGHA009,2.5
2010,Upper West,,,,AFRGHA010,3.4
2010,Western,,15+,Male,AFRGHA001,8.9
2010,Central,,15+,Male,AFRGHA002,10.4
2010,Greater Accra,,15+,Male,AFRGHA003,24.7
2010,Volta,,15+,Male,AFRGHA004,5.5
2010,Sefwi Akontombra,,,,AFRGHA001_13,0.9
2010,Sefwi Wiawso,,,,AFRGHA001_14,2.3
2010,Sefwi Bibiani-Ahwiaso Bekwai,,,,AFRGHA001_15,3.1
2010,Juabeso,,,,AFRGHA001_16,1.5
2010,Bia west,,,,AFRGHA001_17,1.6
2010,Mpohor,,,,AFRGHA001_18,2
2010,Wassa Amenfi Central,,,,AFRGHA001_19,1.1
2010,Suaman,,,,AFRGHA001_20,1.6
2010,Bodi,,,,AFRGHA001_21,1.1
2010,Bia East,,,,AFRGHA001_22,1.3
2010,Komenda-Edina-Egyafo-Abirem Municipal,,,,AFRGHA002_01,4.9
2010,Cape Coast Metropolis,,,,AFRGHA002_02,33.7
2010,Abura-Asebu-Kwamankese,,,,AFRGHA002_03,4.5
2010,Mfantsiman,,,,AFRGHA002_04,7.4
2010,Ajumako-Enyan-Essiam,,,,AFRGHA002_05,2.7
2010,Gomoa West,,,,AFRGHA002_06,2.5
2010,Effutu Municipal,,,,AFRGHA002_07,25
2010,Gomoa East,,,,AFRGHA002_08,5.8
2010,Ewutu Senya,,,,AFRGHA002_09,3.2
2010,Agona East,,,,AFRGHA002_10,2.9
2010,Agona West Municipal,,,,AFRGHA002_11,6.7
2010,Asikuma-Odoben Brakwa,,,,AFRGHA002_12,1.9
2010,Assin South,,,,AFRGHA002_13,2
2010,Assin North Municipal,,,,AFRGHA002_14,2.6
2010,Eastern,,15+,Male,AFRGHA005,7.4
2010,Ashanti,,15+,Male,AFRGHA006,12.9
2010,Brong Ahafo,,15+,Male,AFRGHA007,5.4
2010,Northern,,15+,Male,AFRGHA008,3.3
2010,Upper East,,15+,Male,AFRGHA009,3.8
2010,Upper West,,15+,Male,AFRGHA010,5
2010,Western,,15+,Female,AFRGHA001,4.7
2010,Central,,15+,Female,AFRGHA002,5.4
2010,Greater Accra,,15+,Female,AFRGHA003,14.2
2010,Volta,,15+,Female,AFRGHA004,2.3
2010,Eastern,,15+,Female,AFRGHA005,3.4
2010,Ashanti,,15+,Female,AFRGHA006,6.4
2010,Brong Ahafo,,15+,Female,AFRGHA007,2.2
2010,Northern,,15+,Female,AFRGHA008,1.3
2010,Upper East,,15+,Female,AFRGHA009,1.4
2010,Upper West,,15+,Female,AFRGHA010,2
2010,Western,Urban,15+,,AFRGHA001,12.5
2010,Central,Urban,15+,,AFRGHA002,11.9
2010,Greater Accra,Urban,15+,,AFRGHA003,20
2010,Volta,Urban,15+,,AFRGHA004,7.7
2010,Eastern,Urban,15+,,AFRGHA005,8.8
2010,Ashanti,Urban,15+,,AFRGHA006,13.5
2010,Brong Ahafo,Urban,15+,,AFRGHA007,6.3
2010,Northern,Urban,15+,,AFRGHA008,5.1
2010,Upper East,Urban,15+,,AFRGHA009,6.4
2010,Upper West,Urban,15+,,AFRGHA010,10.9
2010,Western,Rural,15+,,AFRGHA001,2.1
2010,Central,Rural,15+,,AFRGHA002,3.6
2010,Greater Accra,Rural,15+,,AFRGHA003,11
2010,Volta,Rural,15+,,AFRGHA004,1.6
2010,Eastern,Rural,15+,,AFRGHA005,2.4
2010,Ashanti,Rural,15+,,AFRGHA006,2.6
2010,Brong Ahafo,Rural,15+,,AFRGHA007,1.5
2010,Northern,Rural,15+,,AFRGHA008,0.8
2010,Upper East,Rural,15+,,AFRGHA009,1.4
2010,Upper West,Rural,15+,,AFRGHA010,1.7
2010,Jomoro,,,,AFRGHA001_01,3.1
2010,Ellembelle,,,,AFRGHA001_02,3.4
2010,Nzema East,,,,AFRGHA001_03,3.1
2010,Ahanta West,,,,AFRGHA001_04,3.7
2010,Sekondi Takoradi Metropolis,,,,AFRGHA001_05,18.3
2010,Shama,,,,AFRGHA001_06,4.7
2010,Wassa East,,,,AFRGHA001_07,1.6
2010,Tarkwa Nsuaem Municipal,,,,AFRGHA001_08,8.1
