Year,Unit,Geography,Value
2017,Maternal Health Survey,,310
2015,Institutional,,141.9
2015,Institutional,Western,124.5
2015,Institutional,Central,108.4
2015,Institutional,Greater Accra,176.8
2015,Institutional,Volta,134.3
2015,Institutional,Eastern,176.1
2015,Institutional,Ashanti,136.4
2015,Institutional,Brong Ahafo,130.6
2015,Institutional,Northern,144.3
2015,Institutional,Upper East,89.7
2015,Institutional,Upper West,155.8
2014,Institutional,,143.9
2014,Institutional,Western,149.5
2014,Institutional,Central,105.2
2014,Institutional,Greater Accra,184.7
2014,Institutional,Volta,178.8
2014,Institutional,Eastern,175.5
2014,Institutional,Ashanti,114.9
2014,Institutional,Brong Ahafo,134.9
2014,Institutional,Northern,107.5
2014,Institutional,Upper East,138.7
2014,Institutional,Upper West,161.1
2013,Institutional,,154.5
2013,Institutional,Western,152.7
2013,Institutional,Central,121.6
2013,Institutional,Greater Accra,196.7
2013,Institutional,Volta,161
2013,Institutional,Eastern,199.5
2013,Institutional,Ashanti,125.3
2013,Institutional,Brong Ahafo,139.2
2013,Institutional,Northern,173.7
2013,Institutional,Upper East,108.4
2013,Institutional,Upper West,192.9
2012,Institutional,,152
2012,Institutional,Western,132
2012,Institutional,Central,113
2012,Institutional,Greater Accra,201
2012,Institutional,Volta,175
2012,Institutional,Eastern,179
2012,Institutional,Ashanti,77
2012,Institutional,Brong Ahafo,167
2012,Institutional,Northern,212
2012,Institutional,Upper East,136
2012,Institutional,Upper West,146
2011,Institutional,,195
2011,Institutional,Western,114
2011,Institutional,Central,141
2011,Institutional,Greater Accra,256
2011,Institutional,Volta,201
2011,Institutional,Eastern,207
2011,Institutional,Ashanti,232
2011,Institutional,Brong Ahafo,208
2011,Institutional,Northern,165
2011,Institutional,Upper East,120
2011,Institutional,Upper West,202
2010,Institutional,,163.2
2010,Institutional,Western,176.1
2010,Institutional,Central,149
2010,Institutional,Greater Accra,181.5
2010,Institutional,Volta,209.6
2010,Institutional,Eastern,191.6
2010,Institutional,Ashanti,149.6
2010,Institutional,Brong Ahafo,138.7
2010,Institutional,Northern,137.2
2010,Institutional,Upper East,137.9
2010,Institutional,Upper West,157.7
2009,Institutional,,170
2009,Institutional,Western,148
2009,Institutional,Central,129
2009,Institutional,Greater Accra,197
2009,Institutional,Volta,146
2009,Institutional,Eastern,136
2009,Institutional,Ashanti,215
2009,Institutional,Brong Ahafo,194
2009,Institutional,Northern,147
2009,Institutional,Upper East,131
2009,Institutional,Upper West,267
2008,Institutional,,199.7
2008,Institutional,Western,269.5
2008,Institutional,Central,223.2
2008,Institutional,Greater Accra,194.3
2008,Institutional,Volta,144.7
2008,Institutional,Eastern,170.7
2008,Institutional,Ashanti,252.6
2008,Institutional,Brong Ahafo,185.3
2008,Institutional,Northern,175.9
2008,Institutional,Upper East,152.2
2008,Institutional,Upper West,120.6
2007,Maternal Health Survey,,580
