Year,Location,Sex,Geography,Age,Mothers education,Wealth quintile,Birth order,Previous birth interval,Value
2014,,,,,,,,,29
2014,Urban,,,,,,,,33
2014,Rural,,,,,,,,29
2014,,Male,,,,,,,78
2014,,Female,,,,,,,62
2014,,,Western,,,,,,28
2014,,,Central,,,,,,36
2014,,,Greater Accra,,,,,,25
2014,,,Volta,,,,,,30
2014,,,Eastern,,,,,,30
2014,,,Ashanti,,,,,,42
2014,,,Brong Ahafo,,,,,,27
2014,,,Northern,,,,,,24
2014,,,Upper East,,,,,,24
2014,,,Upper West,,,,,,37
2014,,,,Under 20,,,,,84
2014,,,,20-29,,,,,63
2014,,,,30-39,,,,,74
2014,,,,,No education,,,,30
2014,,,,,Primary,,,,35
2014,,,,,Middle/JSS/JHS,,,,28
2014,,,,,Secondary+,,,,36
2014,,,,,,Lowest,,,32
2014,,,,,,Second,,,26
2014,,,,,,Middle,,,26
2014,,,,,,Fourth,,,31
2014,,,,,,Highest,,,40
2014,,,,,,,1,,70
2014,,,,,,,2 to 3,,62
2014,,,,,,,4 to 6,,68
2014,,,,,,,7+,,118
2014,,,,,,,,<2 years,109
2014,,,,,,,,2 years,72
2014,,,,,,,,3 years,67
2014,,,,,,,,4+ years,50
2008,,,,,,,,,30
2008,Urban,,,,,,,,30
2008,Rural,,,,,,,,34
2008,,Male,,,,,,,36
2008,,Female,,,,,,,29
2008,,,Western,,,,,,40
2008,,,Central,,,,,,47
2008,,,Greater Accra,,,,,,21
2008,,,Volta,,,,,,26
2008,,,Eastern,,,,,,29
2008,,,Ashanti,,,,,,35
2008,,,Brong Ahafo,,,,,,27
2008,,,Northern,,,,,,35
2008,,,Upper East,,,,,,17
2008,,,Upper West,,,,,,45
2008,,,,Under 20,,,,,43
2008,,,,20-29,,,,,28
2008,,,,30-39,,,,,35
,,,,40-49,,,,,40
2008,,,,,No education,,,,38
2008,,,,,Primary,,,,35
2008,,,,,Middle/JSS/JHS,,,,23
2008,,,,,Secondary+,,,,38
2008,,,,,,Lowest,,,31
2008,,,,,,Second,,,27
2008,,,,,,Middle,,,44
2008,,,,,,Fourth,,,31
2008,,,,,,Highest,,,31
2008,,,,,,,1,,35
2008,,,,,,,2 to 3,,24
2008,,,,,,,4 to 6,,36
2008,,,,,,,7+,,49
2008,,,,,,,,<2 years,60
2008,,,,,,,,2 years,24
2008,,,,,,,,3 years,30
2008,,,,,,,,4+ years,23
2003,,,,,,,,,43
2003,Urban,,,,,,,,38
2003,Rural,,,,,,,,43
2003,,Male,,,,,,,46
2003,,Female,,,,,,,36
2003,,,Western,,,,,,37
2003,,,Central,,,,,,37
2003,,,Greater Accra,,,,,,29
2003,,,Volta,,,,,,44
2003,,,Eastern,,,,,,42
2003,,,Ashanti,,,,,,57
2003,,,Brong Ahafo,,,,,,36
2003,,,Northern,,,,,,38
2003,,,Upper East,,,,,,22
2003,,,Upper West,,,,,,62
2003,,,,Under 20,,,,,54
2003,,,,20-29,,,,,35
2003,,,,30-39,,,,,42
2003,,,,40-49,,,,,62
2003,,,,,No education,,,,37
2003,,,,,Primary,,,,49
2003,,,,,Middle/JSS/JHS,,,,43
2003,,,,,Secondary+,,,,27
2003,,,,,,Lowest,,,37
2003,,,,,,Second,,,40
2003,,,,,,Middle,,,49
2003,,,,,,Fourth,,,38
2003,,,,,,Highest,,,42
2003,,,,,,,1,,46
2003,,,,,,,2 to 3,,34
2003,,,,,,,4 to 6,,40
2003,,,,,,,7+,,56
2003,,,,,,,,<2 years,83
2003,,,,,,,,2 years,28
2003,,,,,,,,3 years,25
2003,,,,,,,,4+ years,40
1998,,,,,,,,,30
1998,Urban,,,,,,,,23.2
1998,Rural,,,,,,,,35.4
1998,,Male,,,,,,,36.4
1998,,Female,,,,,,,28.1
1998,,,Western,,,,,,38.3
1998,,,Central,,,,,,40.9
1998,,,Greater Accra,,,,,,25.9
1998,,,Volta,,,,,,27
1998,,,Eastern,,,,,,33.8
1998,,,Ashanti,,,,,,22.3
1998,,,Brong Ahafo,,,,,,54.4
1998,,,Northern,,,,,,26.7
1998,,,Upper East,,,,,,28.4
1998,,,Upper West,,,,,,25.5
1998,,,,Under 20,,,,,48.8
1998,,,,20-29,,,,,25.3
1998,,,,30-39,,,,,38.4
1998,,,,40-49,,,,,18.4
1998,,,,,No education,,,,33.8
1998,,,,,Primary,,,,41.1
1998,,,,,Middle/JSS,,,,28.6
1998,,,,,Secondary+,,,,10.5
1998,,,,,,,1,,43.4
1998,,,,,,,2 to 3,,28.2
1998,,,,,,,4 to 6,,27.2
1998,,,,,,,7+,,36.4
1998,,,,,,,,< 2 years,57.6
1998,,,,,,,,2-3 years,22.7
1998,,,,,,,,4 or more years,17.2
1993,,,,,,,,,41
1993,Urban,,,,,,,,38.9
1993,Rural,,,,,,,,48.8
1993,,Male,,,,,,,51.8
1993,,Female,,,,,,,40.2
1993,,,Western,,,,,,47.3
1993,,,Central,,,,,,50.3
1993,,,Greater Accra,,,,,,44.1
1993,,,Volta,,,,,,40
1993,,,Eastern,,,,,,30.4
1993,,,Ashanti,,,,,,44.4
1993,,,Brong Ahafo,,,,,,37.1
1993,,,Northern,,,,,,72.7
1993,,,Upper East,,,,,,40.7
1993,,,Upper West,,,,,,46.2
1993,,,,Under 20,,,,,59.3
1993,,,,20-29,,,,,41.9
1993,,,,30-39,,,,,44.8
1993,,,,40-49,,,,,63.3
1993,,,,,No education,,,,51.5
1993,,,,,Primary,,,,55.6
1993,,,,,Middle/JSS,,,,35.4
1993,,,,,Secondary+,,,,28.2
1993,,,,,,,1,,52.5
1993,,,,,,,2 to 3,,37.4
1993,,,,,,,4 to 6,,41.5
1993,,,,,,,7+,,72.1
1993,,,,,,,,< 2 years,80.7
1993,,,,,,,,2-3 years,37.1
1993,,,,,,,,4 or more years,30.5
