Year,Age group,Sex,Value
2000,,,1.67
2000,,Female,1.88
2000,,Male,1.47
2000,under 15 years old,,0.73
2000,15 years old and over,,2.36
2000,15 to 49 years old,,2.67
2000,15 to 49 years old,Female,3.1
2000,15 to 49 years old,Male,2.25
2001,,,1.55
2001,,Female,1.74
2001,,Male,1.37
2001,under 15 years old,,0.72
2001,15 years old and over,,2.15
2001,15 to 49 years old,,2.44
2001,15 to 49 years old,Female,2.83
2001,15 to 49 years old,Male,2.05
2002,,,1.43
2002,,Female,1.61
2002,,Male,1.27
2002,under 15 years old,,0.7
2002,15 years old and over,,1.96
2002,15 to 49 years old,,2.22
2002,15 to 49 years old,Female,2.58
2002,15 to 49 years old,Male,1.87
2003,,,1.29
2003,,Female,1.45
2003,,Male,1.14
2003,under 15 years old,,0.67
2003,15 years old and over,,1.73
2003,15 to 49 years old,,1.97
2003,15 to 49 years old,Female,2.28
2003,15 to 49 years old,Male,1.65
2004,,,1.21
2004,,Female,1.35
2004,,Male,1.07
2004,under 15 years old,,0.64
2004,15 years old and over,,1.61
2004,15 to 49 years old,,1.83
2004,15 to 49 years old,Female,2.12
2004,15 to 49 years old,Male,1.53
2005,,,1.16
2005,,Female,1.3
2005,,Male,1.03
2005,under 15 years old,,0.61
2005,15 years old and over,,1.54
2005,15 to 49 years old,,1.75
2005,15 to 49 years old,Female,2.03
2005,15 to 49 years old,Male,1.47
2006,,,1.07
2006,,Female,1.19
2006,,Male,0.94
2006,under 15 years old,,0.57
2006,15 years old and over,,1.41
2006,15 to 49 years old,,1.6
2006,15 to 49 years old,Female,1.85
2006,15 to 49 years old,Male,1.34
2007,,,0.97
2007,,Female,1.09
2007,,Male,0.85
2007,under 15 years old,,0.5
2007,15 years old and over,,1.29
2007,15 to 49 years old,,1.46
2007,15 to 49 years old,Female,1.7
2007,15 to 49 years old,Male,1.23
2008,,,0.91
2008,,Female,1.02
2008,,Male,0.8
2008,under 15 years old,,0.46
2008,15 years old and over,,1.21
2008,15 to 49 years old,,1.37
2008,15 to 49 years old,Female,1.59
2008,15 to 49 years old,Male,1.15
2009,,,0.86
2009,,Female,0.96
2009,,Male,0.76
2009,under 15 years old,,0.46
2009,15 years old and over,,1.12
2009,15 to 49 years old,,1.28
2009,15 to 49 years old,Female,1.48
2009,15 to 49 years old,Male,1.07
2010,,,0.78
2010,,Female,0.87
2010,,Male,0.69
2010,under 15 years old,,0.4
2010,15 years old and over,,1.03
2010,15 to 49 years old,,1.17
2010,15 to 49 years old,Female,1.35
2010,15 to 49 years old,Male,0.98
2011,,,0.68
2011,,Female,0.77
2011,,Male,0.59
2011,under 15 years old,,0.28
2011,15 years old and over,,0.94
2011,15 to 49 years old,,1.07
2011,15 to 49 years old,Female,1.24
2011,15 to 49 years old,Male,0.9
2012,,,0.62
2012,,Female,0.7
2012,,Male,0.54
2012,under 15 years old,,0.25
2012,15 years old and over,,0.86
2012,15 to 49 years old,,0.97
2012,15 to 49 years old,Female,1.12
2012,15 to 49 years old,Male,0.81
2013,,,0.58
2013,,Female,0.66
2013,,Male,0.51
2013,under 15 years old,,0.27
2013,15 years old and over,,0.79
2013,15 to 49 years old,,0.89
2013,15 to 49 years old,Female,1.04
2013,15 to 49 years old,Male,0.75
2014,,,0.54
2014,,Female,0.6
2014,,Male,0.47
2014,under 15 years old,,0.23
2014,15 years old and over,,0.73
2014,15 to 49 years old,,0.83
2014,15 to 49 years old,Female,0.96
2014,15 to 49 years old,Male,0.7
2015,,,0.5
2015,,Female,0.56
2015,,Male,0.43
2015,under 15 years old,,0.22
2015,15 years old and over,,0.68
2015,15 to 49 years old,,0.77
2015,15 to 49 years old,Female,0.89
2015,15 to 49 years old,Male,0.64
