Year,Location,Sex,Geography,Age,Preschool attendance,Mothers education,Wealth quintile,Value
2011,,,,,,,,28.3
2011,Urban,,,,,,,40.6
2011,Rural,,,,,,,18.8
2011,,Male,,,,,,25.2
2011,,Female,,,,,,31.5
2011,,,Western,,,,,29.8
2011,,,Central,,,,,38.6
2011,,,Greater Accra,,,,,46.6
2011,,,Volta,,,,,13.6
2011,,,Eastern,,,,,29.1
2011,,,Ashanti,,,,,27.6
2011,,,Brong Ahafo,,,,,22.3
2011,,,Northern,,,,,17.5
2011,,,Upper East,,,,,15.9
2011,,,Upper West,,,,,18.5
2011,,,,36 - 47 months,,,,17.8
2011,,,,48 -59 months,,,,39.9
2011,,,,,Attending preschool,,,39.6
2011,,,,,Not attending preschool,,,3.9
2011,,,,,,No education,,12.2
2011,,,,,,Primary,,24.5
2011,,,,,,Middle or JSS or JHS,,37.3
2011,,,,,,Secondary and higher,,64.8
2011,,,,,,,Lowest,7.6
2011,,,,,,,Second,20
2011,,,,,,,Middle,27.9
2011,,,,,,,Fourth,39.2
2011,,,,,,,Highest,57.8
