Year,Location,Sex of child,Geography,Mothers education,Wealth quintile,Value
2011,,,,,,80.3
2011,Urban,,,,,81.4
2011,Rural,,,,,79.5
2011,,Male,,,,79.4
2011,,Female,,,,81.1
2011,,,Western,,,81.6
2011,,,Central,,,87.1
2011,,,Greater Accra,,,84.1
2011,,,Volta,,,91.4
2011,,,Eastern,,,72.2
2011,,,Ashanti,,,59.7
2011,,,Brong Ahafo,,,87.7
2011,,,Northern,,,89
2011,,,Upper East,,,74.5
2011,,,Upper West,,,65.4
2011,,,,No education,,82.5
2011,,,,Primary,,83
2011,,,,Middle or JSS or JHS,,77.7
2011,,,,Secondary and higher,,77.9
2011,,,,,Lowest,80.7
2011,,,,,Second,79.2
2011,,,,,Middle,80.2
2011,,,,,Fourth,76
2011,,,,,Highest,86.9
