Year,Sex,Geography,Value
2010,Female,Western,5
2010,Female,Central,7
2010,Female,Gt. Accra,6
2010,Female,Volta,6
2010,Female,Eastern,3
2010,Female,Ashanti,10
2010,Female,Brong Ahafo,7
2010,Female,Northern,5
2010,Female,Upper East,10
2010,Female,Upper West,9
2006,Female,Western,8.7
2006,Female,Central,10.9
2006,Female,Gt. Accra,11.4
2006,Female,Volta,13.1
2006,Female,Eastern,11.6
2006,Female,Ashanti,9.4
2006,Female,Brong Ahafo,10
2006,Female,Northern,6.6
2006,Female,Upper East,7.8
2006,Female,Upper West,8
2002,Female,Western,6.4
2002,Female,Central,8.1
2002,Female,Gt. Accra,11.1
2002,Female,Volta,9.3
2002,Female,Eastern,8.8
2002,Female,Ashanti,8.2
2002,Female,Brong Ahafo,6.4
2002,Female,Northern,1.4
2002,Female,Upper East,6.6
2002,Female,Upper West,8.1
1998,Female,Western,4
1998,Female,Central,3
1998,Female,Gt. Accra,5
1998,Female,Volta,4
1998,Female,Eastern,6
1998,Female,Ashanti,5
1998,Female,Brong Ahafo,7
1998,Female,Northern,1.3
1998,Female,Upper East,3
1998,Female,Upper West,3
