Year,Geography,Units,Value
2017,,National Parliament,13.5
2016,,National Parliament,10.9
2013,,National Parliament,8.3
2012,,National Parliament,8.3
2010,Western,Local Government,5
2010,Central,Local Government,7
2010,Gt. Accra,Local Government,6
2010,Volta,Local Government,6
2010,Eastern,Local Government,3
2010,Ashanti,Local Government,10
2010,Brong Ahafo,Local Government,7
2010,Northern,Local Government,5
2010,Upper East,Local Government,10
2010,Upper West,Local Government,9
2009,,National Parliament,8.3
2008,,National Parliament,10.9
2006,Western,Local Government,8.7
2006,Central,Local Government,10.9
2006,Gt. Accra,Local Government,11.4
2006,Volta,Local Government,13.1
2006,Eastern,Local Government,11.6
2006,Ashanti,Local Government,9.4
2006,Brong Ahafo,Local Government,10
2006,Northern,Local Government,6.59
2006,Upper East,Local Government,7.8
2006,Upper West,Local Government,8
2005,,National Parliament,10.9
2004,,National Parliament,9.5
2002,Western,Local Government,6.4
2002,Central,Local Government,8.1
2002,Gt. Accra,Local Government,11.1
2002,Volta,Local Government,9.3
2002,Eastern,Local Government,8.8
2002,Ashanti,Local Government,8.2
2002,Brong Ahafo,Local Government,6.4
2002,Northern,Local Government,1.4
2002,Upper East,Local Government,6.6
2002,Upper West,Local Government,8.1
2000,,National Parliament,9.5
1998,Western,Local Government,4
1998,Central,Local Government,3
1998,Gt. Accra,Local Government,5
1998,Volta,Local Government,4
1998,Eastern,Local Government,6
1998,Ashanti,Local Government,5
1998,Brong Ahafo,Local Government,7
1998,Northern,Local Government,1.3
1998,Upper East,Local Government,3
1998,Upper West,Local Government,3
