Year,Units,Location,Sex,Age,Geography,Highest Education Level,Disability,Value
2017,Percent,,,,,,,14.1
2017,Percent,,,,Western,,,12.7
2017,Percent,,,,Central,,,11.7
2017,Percent,,,,Greater Accra,,,17
2017,Percent,,,,Volta,,,8.7
2017,Percent,,,,Eastern,,,12.7
2017,Percent,,,,Ashanti,,,15.5
2017,Percent,,,,Brong Ahafo,,,9
2017,Percent,,,,Northern,,,14.7
2017,Percent,,,,Upper East,,,24.8
2017,Percent,,,,Upper West,,,23.2
2017,Percent,Urban,,,,,,16.7
2017,Percent,Urban,,,Western,,,19.7
2017,Percent,Urban,,,Central,,,13.5
2017,Percent,Urban,,,Greater Accra,,,17.5
2017,Percent,Urban,,,Volta,,,9.9
2017,Percent,Urban,,,Eastern,,,17.1
2017,Percent,Urban,,,Ashanti,,,17.5
2017,Percent,Urban,,,Brong Ahafo,,,11.3
2017,Percent,Urban,,,Northern,,,20.7
2017,Percent,Urban,,,Upper East,,,20
2017,Percent,Urban,,,Upper West,,,24.9
2017,Percent,Rural,,,,,,11.4
2017,Percent,Rural,,,Western,,,7.6
2017,Percent,Rural,,,Central,,,10
2017,Percent,Rural,,,Greater Accra,,,12.3
2017,Percent,Rural,,,Volta,,,8.1
2017,Percent,Rural,,,Eastern,,,9.6
2017,Percent,Rural,,,Ashanti,,,12.2
2017,Percent,Rural,,,Brong Ahafo,,,7.2
2017,Percent,Rural,,,Northern,,,12
2017,Percent,Rural,,,Upper East,,,26.1
2017,Percent,Rural,,,Upper West,,,22.9
2017,Percent,,Male,,,,,11.4
2017,Percent,,Male,,Western,,,10.1
2017,Percent,,Male,,Central,,,8.9
2017,Percent,,Male,,Greater Accra,,,15.1
2017,Percent,,Male,,Volta,,,6.5
2017,Percent,,Male,,Eastern,,,10
2017,Percent,,Male,,Ashanti,,,11.1
2017,Percent,,Male,,Brong Ahafo,,,6.2
2017,Percent,,Male,,Northern,,,12.6
2017,Percent,,Male,,Upper East,,,25.7
2017,Percent,,Male,,Upper West,,,19.7
2017,Percent,,Female,,,,,16.5
2017,Percent,,Female,,Western,,,15.1
2017,Percent,,Female,,Central,,,13.8
2017,Percent,,Female,,Greater Accra,,,18.8
2017,Percent,,Female,,Volta,,,10.6
2017,Percent,,Female,,Eastern,,,15.2
2017,Percent,,Female,,Ashanti,,,19.4
2017,Percent,,Female,,Brong Ahafo,,,11.6
2017,Percent,,Female,,Northern,,,16.5
2017,Percent,,Female,,Upper East,,,24.1
2017,Percent,,Female,,Upper West,,,26.7
2017,Percent,Urban,Male,,,,,13.8
2017,Percent,Urban,Male,,Western,,,16.4
2017,Percent,Urban,Male,,Central,,,10.6
2017,Percent,Urban,Male,,Greater Accra,,,15.5
2017,Percent,Urban,Male,,Volta,,,8.1
2017,Percent,Urban,Male,,Eastern,,,14.1
2017,Percent,Urban,Male,,Ashanti,,,13.8
2017,Percent,Urban,Male,,Brong Ahafo,,,8.3
2017,Percent,Urban,Male,,Northern,,,15.4
2017,Percent,Urban,Male,,Upper East,,,17.2
2017,Percent,Urban,Male,,Upper West,,,22.2
2017,Percent,Urban,Female,,,,,19.2
2017,Percent,Urban,Female,,Western,,,22.3
2017,Percent,Urban,Female,,Central,,,15.7
2017,Percent,Urban,Female,,Greater Accra,,,19.3
2017,Percent,Urban,Female,,Volta,,,11.3
2017,Percent,Urban,Female,,Eastern,,,19.5
2017,Percent,Urban,Female,,Ashanti,,,20.8
2017,Percent,Urban,Female,,Brong Ahafo,,,13.7
2017,Percent,Urban,Female,,Northern,,,25.7
2017,Percent,Urban,Female,,Upper East,,,22.2
2017,Percent,Urban,Female,,Upper West,,,27.4
2017,Percent,Rural,Male,,,,,9
2017,Percent,Rural,Male,,Western,,,6.1
2017,Percent,Rural,Male,,Central,,,7.4
2017,Percent,Rural,Male,,Greater Accra,,,10.9
2017,Percent,Rural,Male,,Volta,,,5.8
2017,Percent,Rural,Male,,Eastern,,,7.3
2017,Percent,Rural,Male,,Ashanti,,,6.6
2017,Percent,Rural,Male,,Brong Ahafo,,,4.6
2017,Percent,Rural,Male,,Northern,,,11.4
2017,Percent,Rural,Male,,Upper East,,,28
2017,Percent,Rural,Male,,Upper West,,,19.2
2017,Percent,Rural,Female,,,,,13.5
2017,Percent,Rural,Female,,Western,,,9.2
2017,Percent,Rural,Female,,Central,,,12.2
2017,Percent,Rural,Female,,Greater Accra,,,13.4
2017,Percent,Rural,Female,,Volta,,,10.2
2017,Percent,Rural,Female,,Eastern,,,11.8
2017,Percent,Rural,Female,,Ashanti,,,17.2
2017,Percent,Rural,Female,,Brong Ahafo,,,9.7
2017,Percent,Rural,Female,,Northern,,,12.5
2017,Percent,Rural,Female,,Upper East,,,24.6
2017,Percent,Rural,Female,,Upper West,,,26.5
