Year,Unit,Value
2008,Manufacturing Share of GDP (%),7.54
2009,Manufacturing Share of GDP (%),6.77
2010,Manufacturing Share of GDP (%),6.39
2011,Manufacturing Share of GDP (%),6.42
2012,Manufacturing Share of GDP (%),5.66
2013,Manufacturing Share of GDP (%),11.75
2014,Manufacturing Share of GDP (%),11.33
2015,Manufacturing Share of GDP (%),11.37
2016,Manufacturing Share of GDP (%),11.12
2017,Manufacturing Share of GDP (%),10.46
2018,Manufacturing Share of GDP (%),10.46
2010,Per Capita VA for Manufacturing (Millions of GhCedis),119.29
2011,Per Capita VA for Manufacturing (Millions of GhCedis),152.27
2012,Per Capita VA for Manufacturing (Millions of GhCedis),165.09
2013,Per Capita VA for Manufacturing (Millions of GhCedis),549.53
2014,Per Capita VA for Manufacturing (Millions of GhCedis),651.01
2015,Per Capita VA for Manufacturing (Millions of GhCedis),741.09
2016,Per Capita VA for Manufacturing (Millions of GhCedis),845.05
2017,Per Capita VA for Manufacturing (Millions of GhCedis),927.61
2018,Per Capita VA for Manufacturing (Millions of GhCedis),1061.67
