Year,Location,Value
2008,Number of containers,607381
2009,Number of containers,573522
2010,Number of containers,643192
2011,Number of containers,813494
2012,Number of containers,882877
2013,Number of containers,894362
2014,Number of containers,793737
2015,Number of containers,840595
2016,Number of containers,942463
2017,Number of containers,1009755
2008,Volume,12743862
2009,Volume,10778470
2010,Volume,12709110
2011,Volume,15697476
2012,Volume,16761702
2013,Volume,17632640
2014,Volume,15876268
2015,Volume,16844662
2016,Volume,19459834
2017,Volume,22086626
