Year,Value
1990,11.7882864101609
1991,13.7627219413152
1992,11.0862239409259
1993,14.9291413815365
1994,18.7465227080612
1995,20.439646054227
1996,17.6165602511641
1997,17.3360990264571
1998,18.3658613100662
1999,16.3577173207808
2000,17.7172431422432
2001,18.1363609968885
2002,19.9897798819919
2003,20.772836898194
2004,23.7810264676475
2005,23.8084435146181
2006,13.6696082873663
2007,15.7680230591374
2008,15.9132850544524
2009,15.5037001934069
2010,16.7903371379174
2011,19.5207608643833
2012,20.5908747144288
2013,15.1492994932356
2014,15.3965974335011
2015,16.270403056867
2016,15.1282744898316
2017,15.5697308041848
