Year,Sex,Geography,Value,
2017,,,100.8,
2017,,Western,101.2,
2017,,Central,117.8,
2017,,Greater Accra,98.7,
2017,,Volta,93.4,
2017,,Eastern,86.4,
2017,,Ashanti,97.5,
2017,,Brong Ahafo,98.4,
2017,,Northern,107.6,
2017,,Upper East,121.5,
2017,,Upper West,106.3,
2017,Male,,101.4,
2017,Male,Western,105.2,
2017,Male,Central,116.7,
2017,Male,Greater Accra,99.1,
2017,Male,Volta,92.7,
2017,Male,Eastern,85.7,
2017,Male,Ashanti,97.8,
2017,Male,Brong Ahafo,100.4,
2017,Male,Northern,112.1,
2017,Male,Upper East,117.0,
2017,Male,Upper West,101.2,
2017,Female,,100.2,
2017,Female,Western,97.3,
2017,Female,Central,118.9,
2017,Female,Greater Accra,98.4,
2017,Female,Volta,94.1,
2017,Female,Eastern,87.2,
2017,Female,Ashanti,97.2,
2017,Female,Brong Ahafo,96.4,
2017,Female,Northern,102.8,
2017,Female,Upper East,126.6,
2017,Female,Upper West,112.1,
2016,,,101.6,
2016,,Western,105.2,
2016,,Central,116.6,
2016,,Greater Accra,93.9,
2016,,Volta,94.2,
2016,,Eastern,87.4,
2016,,Ashanti,98.7,
2016,,Brong Ahafo,101.3,
2016,,Northern,109.3,
2016,,Upper East,124.3,
2016,,Upper West,108.5,
2016,Male,,102.3,
2016,Male,Western,108.4,
2016,Male,Central,115.3,
2016,Male,Greater Accra,94.6,
2016,Male,Volta,93.7,
2016,Male,Eastern,87.8,
2016,Male,Ashanti,99.0,
2016,Male,Brong Ahafo,103.3,
2016,Male,Northern,113.9,
2016,Male,Upper East,120.3,
2016,Male,Upper West,103.4,
2016,Female,,100.7,
2016,Female,Western,102.0,
2016,Female,Central,118.0,
2016,Female,Greater Accra,93.3,
2016,Female,Volta,94.8,
2016,Female,Eastern,87.0,
2016,Female,Ashanti,98.3,
2016,Female,Brong Ahafo,99.2,
2016,Female,Northern,104.2,
2016,Female,Upper East,128.8,
2016,Female,Upper West,114.2,
2015,,,99.6,
2015,,Western,111.4,
2015,,Central,105.8,
2015,,Greater Accra,84.9,
2015,,Volta,99.4,
2015,,Eastern,96.8,
2015,,Ashanti,105.8,
2015,,Brong Ahafo,107.5,
2015,,Northern,83.6,
2015,,Upper East,117.7,
2015,,Upper West,98.5,
2015,Male,,100.8,
2015,Male,Western,110.9,
2015,Male,Central,103.4,
2015,Male,Greater Accra,89.4,
2015,Male,Volta,101.0,
2015,Male,Eastern,98.9,
2015,Male,Ashanti,105.8,
2015,Male,Brong Ahafo,108.4,
2015,Male,Northern,85.6,
2015,Male,Upper East,118.8,
2015,Male,Upper West,95.9,
2015,Female,,98.5,
2015,Female,Western,111.9,
2015,Female,Central,108.4,
2015,Female,Greater Accra,81.1,
2015,Female,Volta,97.6,
2015,Female,Eastern,94.5,
2015,Female,Ashanti,105.7,
2015,Female,Brong Ahafo,106.5,
2015,Female,Northern,81.2,
2015,Female,Upper East,116.7,
2015,Female,Upper West,101.4,
2014,,,97.5,
2014,,Western,110.2,
2014,,Central,106.2,
2014,,Greater Accra,96.1,
2014,,Volta,93.1,
2014,,Eastern,90.5,
2014,,Ashanti,101.0,
2014,,Brong Ahafo,101.7,
2014,,Northern,80.5,
2014,,Upper East,105.8,
2014,,Upper West,93.0,
2014,Male,,99.0,
2014,Male,Western,111.7,
2014,Male,Central,108.8,
2014,Male,Greater Accra,94.0,
2014,Male,Volta,95.4,
2014,Male,Eastern,91.6,
2014,Male,Ashanti,102.0,
2014,Male,Brong Ahafo,103.5,
2014,Male,Northern,86.6,
2014,Male,Upper East,107.5,
2014,Male,Upper West,90.7,
2014,Female,,95.9,
2014,Female,Western,108.6,
2014,Female,Central,103.6,
2014,Female,Greater Accra,98.1,
2014,Female,Volta,90.7,
2014,Female,Eastern,89.3,
2014,Female,Ashanti,100.0,
2014,Female,Brong Ahafo,99.9,
2014,Female,Northern,74.1,
2014,Female,Upper East,104.0,
2014,Female,Upper West,95.6,
2013,,,112.4,
2013,,Western,122.9,
2013,,Central,120.9,
2013,,Greater Accra,99.8,
2013,,Volta,105.9,
2013,,Eastern,104.0,
2013,,Ashanti,107.4,
2013,,Brong Ahafo,114.8,
2013,,Northern,132.5,
2013,,Upper East,123.3,
2013,,Upper West,115.2,
2013,Male,,113.8,
2013,Male,Western,124.3,
2013,Male,Central,122.2,
2013,Male,Greater Accra,100.0,
2013,Male,Volta,107.9,
2013,Male,Eastern,105.0,
2013,Male,Ashanti,108.3,
2013,Male,Brong Ahafo,116.5,
2013,Male,Northern,139.0,
2013,Male,Upper East,118.7,
2013,Male,Upper West,111.6,
2013,Female,,111.0,
2013,Female,Ashanti,106.4,
2013,Female,Brong Ahafo,113.1,
2013,Female,Central,119.5,
2013,Female,Eastern,102.9,
2013,Female,Greater Accra,99.6,
2013,Female,Northern,125.2,
2013,Female,Upper East,128.6,
2013,Female,Upper West,119.1,
2013,Female,Volta,103.7,
2013,Female,Western,121.4,
2012,,,93.7,
2012,,Western,100.3,
2012,,Central,106.1,
2012,,Greater Accra,89.4,
2012,,Volta,85.5,
2012,,Eastern,81.5,
2012,,Ashanti,92.4,
2012,,Brong Ahafo,97.3,
2012,,Northern,98.9,
2012,,Upper East,97.4,
2012,,Upper West,97.9,
2012,Male,,95.4,
2012,Male,Western,101.4,
2012,Male,Central,106.4,
2012,Male,Greater Accra,91.3,
2012,Male,Volta,88.5,
2012,Male,Eastern,82.2,
2012,Male,Ashanti,94.4,
2012,Male,Brong Ahafo,100,
2012,Male,Northern,105.3,
2012,Male,Upper East,93.4,
2012,Male,Upper West,96.3,
2012,Female,,91.9,
2012,Female,Western,99.2,
2012,Female,Central,105.8,
2012,Female,Greater Accra,87.8,
2012,Female,Volta,82.3,
2012,Female,Eastern,80.7,
2012,Female,Ashanti,90.5,
2012,Female,Brong Ahafo,94.6,
2012,Female,Northern,91.9,
2012,Female,Upper East,101.9,
2012,Female,Upper West,99.6,
2011,,,91.6,
2011,,Western,95.2,
2011,,Central,107.6,
2011,,Greater Accra,100.4,
2011,,Volta,86.7,
2011,,Eastern,79.7,
2011,,Ashanti,85.8,
2011,,Brong Ahafo,90.4,
2011,,Northern,90.7,
2011,,Upper East,94.3,
2011,,Upper West,94.4,
2011,Male,,94.1,
2011,Male,Western,97.1,
2011,Male,Central,108.7,
2011,Male,Greater Accra,103.5,
2011,Male,Volta,91.2,
2011,Male,Eastern,81.6,
2011,Male,Ashanti,88.1,
2011,Male,Brong Ahafo,94.0,
2011,Male,Northern,97.0,
2011,Male,Upper East,92.1,
2011,Male,Upper West,94.0,
2011,Female,,89.0,
2011,Female,Western,93.2,
2011,Female,Central,106.4,
2011,Female,Greater Accra,97.6,
2011,Female,Volta,81.9,
2011,Female,Eastern,77.7,
2011,Female,Ashanti,83.5,
2011,Female,Brong Ahafo,86.7,
2011,Female,Northern,83.8,
2011,Female,Upper East,96.9,
2011,Female,Upper West,94.7,
2010,,,87.1,
2010,,Western,94.4,
2010,,Central,101.5,
2010,,Greater Accra,83.2,
2010,,Volta,80.3,
2010,,Eastern,79.0,
2010,,Ashanti,85.5,
2010,,Brong Ahafo,88.7,
2010,,Northern,88.7,
2010,,Upper East,85.5,
2010,,Upper West,90.2,
2010,Male,,89.7,
2010,Male,Western,96.3,
2010,Male,Central,103.9,
2010,Male,Greater Accra,85.7,
2010,Male,Volta,84.2,
2010,Male,Eastern,80.5,
2010,Male,Ashanti,88.7,
2010,Male,Brong Ahafo,92.2,
2010,Male,Northern,94.3,
2010,Male,Upper East,83.9,
2010,Male,Upper West,89.2,
2010,Female,,84.3,
2010,Female,Western,92.5,
2010,Female,Central,98.9,
2010,Female,Greater Accra,81,
2010,Female,Volta,76.1,
2010,Female,Eastern,77.5,
2010,Female,Ashanti,82.3,
2010,Female,Brong Ahafo,85.2,
2010,Female,Northern,82.5,
2010,Female,Upper East,87.3,
2010,Female,Upper West,91.3,
2009,,,88.7,
2009,,Western,96.1,
2009,,Central,102.4,
2009,,Greater Accra,85.4,
2009,,Volta,83.3,
2009,,Eastern,84.0,
2009,,Ashanti,88.1,
2009,,Brong Ahafo,88.5,
2009,,Northern,85.9,
2009,,Upper East,85.1,
2009,,Upper West,87.9,
2009,Male,,74.0,
2009,Male,Western,99.4,
2009,Male,Central,104.4,
2009,Male,Greater Accra,87.7,
2009,Male,Volta,88.0,
2009,Male,Eastern,86.2,
2009,Male,Ashanti,91.9,
2009,Male,Brong Ahafo,92.7,
2009,Male,Northern,92.4,
2009,Male,Upper East,83.4,
2009,Male,Upper West,85.6,
2009,Female,,85.5,
2009,Female,Western,92.8,
2009,Female,Central,100.4,
2009,Female,Greater Accra,83.4,
2009,Female,Volta,78.3,
2009,Female,Eastern,81.7,
2009,Female,Ashanti,84.4,
2009,Female,Brong Ahafo,84.2,
2009,Female,Northern,78.7,
2009,Female,Upper East,87.1,
2009,Female,Upper West,90.5,
2008,,,85.5,
2008,,Western,93.2,
2008,,Central,100.9,
2008,,Greater Accra,84.6,
2008,,Volta,80.0,
2008,,Eastern,84.2,
2008,,Ashanti,84.5,
2008,,Brong Ahafo,84.5,
2008,,Northern,79.4,
2008,,Upper East,78.9,
2008,,Upper West,78.8,
2008,Male,,74.0,
2008,Male,Western,96.2,
2008,Male,Central,102.6,
2008,Male,Greater Accra,88.0,
2008,Male,Volta,84.2,
2008,Male,Eastern,86.3,
2008,Male,Ashanti,88.4,
2008,Male,Brong Ahafo,89.4,
2008,Male,Northern,85.6,
2008,Male,Upper East,77.3,
2008,Male,Upper West,76.9,
2008,Female,,82.3,
2008,Female,Western,90.0,
2008,Female,Central,99.1,
2008,Female,Greater Accra,81.5,
2008,Female,Volta,75.7,
2008,Female,Eastern,82.1,
2008,Female,Ashanti,80.5,
2008,Female,Brong Ahafo,79.6,
2008,Female,Northern,72.6,
2008,Female,Upper East,80.7,
2008,Female,Upper West,80.9,
2007,,,80.4,
2007,,Western,87.4,
2007,,Central,97.0,
2007,,Greater Accra,78.5,
2007,,Volta,77.2,
2007,,Eastern,79.8,
2007,,Ashanti,80.8,
2007,,Brong Ahafo,79.3,
2007,,Northern,71.7,
2007,,Upper East,70.7,
2007,,Upper West,70.6,
2007,Male,,83.8,
2007,Male,Western,91.2,
2007,Male,Central,100,
2007,Male,Greater Accra,81.6,
2007,Male,Volta,81.6,
2007,Male,Eastern,81.5,
2007,Male,Ashanti,85.1,
2007,Male,Brong Ahafo,83.7,
2007,Male,Northern,79.1,
2007,Male,Upper East,69.7,
2007,Male,Upper West,67.5,
2007,Female,,76.9,
2007,Female,Western,83.4,
2007,Female,Central,93.7,
2007,Female,Greater Accra,75.7,
2007,Female,Volta,72.5,
2007,Female,Eastern,77.9,
2007,Female,Ashanti,76.5,
2007,Female,Brong Ahafo,74.9,
2007,Female,Northern,63.4,
2007,Female,Upper East,71.9,
2007,Female,Upper West,74.1,
2006,,,74.8,
2006,,Western,76.5,
2006,,Central,90.9,
2006,,Greater Accra,69.1,
2006,,Volta,75.0,
2006,,Eastern,73.2,
2006,,Ashanti,75.9,
2006,,Brong Ahafo,76.4,
2006,,Northern,68.0,
2006,,Upper East,66.0,
2006,,Upper West,74.9,
2006,Male,,77.8,
2006,Male,Western,79.6,
2006,Male,Central,92.8,
2006,Male,Greater Accra,71.4,
2006,Male,Volta,78.4,
2006,Male,Eastern,74.1,
2006,Male,Ashanti,79.5,
2006,Male,Brong Ahafo,80.7,
2006,Male,Northern,75.9,
2006,Male,Upper East,64.4,
2006,Male,Upper West,74.2,
2006,Female,,71.8,
2006,Female,Western,73.4,
2006,Female,Central,88.9,
2006,Female,Greater Accra,67.1,
2006,Female,Volta,71.3,
2006,Female,Eastern,72.2,
2006,Female,Ashanti,72.3,
2006,Female,Brong Ahafo,71.9,
2006,Female,Northern,59.2,
2006,Female,Upper East,67.8,
2006,Female,Upper West,75.7,
