Year,Units,Geography,Value
2017,National Parliament,,13.5
2016,National Parliament,,10.9
2013,National Parliament,,8.3
2012,National Parliament,,8.3
2010,Local Government,Western,5
2010,Local Government,Central,7
2010,Local Government,Gt. Accra,6
2010,Local Government,Volta,6
2010,Local Government,Eastern,3
2010,Local Government,Ashanti,10
2010,Local Government,Brong Ahafo,7
2010,Local Government,Northern,5
2010,Local Government,Upper East,10
2010,Local Government,Upper West,9
2009,National Parliament,,8.3
2008,National Parliament,,10.9
2006,Local Government,Western,8.7
2006,Local Government,Central,10.9
2006,Local Government,Gt. Accra,11.4
2006,Local Government,Volta,13.1
2006,Local Government,Eastern,11.6
2006,Local Government,Ashanti,9.4
2006,Local Government,Brong Ahafo,10
2006,Local Government,Northern,6.59
2006,Local Government,Upper East,7.8
2006,Local Government,Upper West,8
2005,National Parliament,,10.9
2004,National Parliament,,9.5
2002,Local Government,Western,6.4
2002,Local Government,Central,8.1
2002,Local Government,Gt. Accra,11.1
2002,Local Government,Volta,9.3
2002,Local Government,Eastern,8.8
2002,Local Government,Ashanti,8.2
2002,Local Government,Brong Ahafo,6.4
2002,Local Government,Northern,1.4
2002,Local Government,Upper East,6.6
2002,Local Government,Upper West,8.1
2000,National Parliament,,9.5
1998,Local Government,Western,4
1998,Local Government,Central,3
1998,Local Government,Gt. Accra,5
1998,Local Government,Volta,4
1998,Local Government,Eastern,6
1998,Local Government,Ashanti,5
1998,Local Government,Brong Ahafo,7
1998,Local Government,Northern,1.3
1998,Local Government,Upper East,3
1998,Local Government,Upper West,3
